X,Y,u_数值解,u_解析解,abs误差
0.11,0.04,1.2542602447415407,0.04245511887518977,1.211805125866351
0.12,0.04,1.3630714601167317,0.04613824054238377,1.316933219574348
0.13,0.04,1.4705374885264,0.049775829336499725,1.4207616591899002
0.14,0.04,1.5765522739750342,0.05336429539656926,1.523187978578465
0.15,0.04,1.681011192668718,0.056900097339831826,1.624111095328886
0.16,0.04,1.7838111562661794,0.060379745756652003,1.7234314105095274
0.17,0.04,1.8848507136145358,0.06379980665414539,1.8210509069603904
0.18,0.04,1.9840301508693399,0.06715690484511516,1.9168732460242248
0.19,0.04,2.0812515899000976,0.07044772727895417,2.0108038626211435
0.2,0.04,2.176419084884176,0.07366902631122604,2.10275005857295
0.21,0.04,2.2694387169937316,0.07681762290869805,2.1926210940850335
0.22,0.04,2.3602186870822717,0.0798904097866632,2.2803282772956086
0.23,0.04,2.4486694062793175,0.08288435447545497,2.3657850518038623
0.24,0.04,2.5347035844038084,0.08579650231312885,2.4489070820906793
0.25,0.04,2.61823631610896,0.08862397936135695,2.529612336747603
0.26,0.04,2.699185164673614,0.09136399524165806,2.607821169431956
0.27,0.04,2.7774702433573113,0.09401384588916449,2.683456397468147
0.28,0.04,2.8530142942388608,0.09657091622120746,2.756443378017653
0.29,0.04,2.9257427644605865,0.09903268271808811,2.8267100817424984
0.3,0.04,2.995583879802994,0.10139671591348672,2.8941871638895074
0.31,0.04,3.0624687155172623,0.10366068279205255,2.9588080327252095
0.32,0.04,3.1263312643456422,0.10582234909180854,3.0205089152538336
0.33,0.04,3.1871085016626606,0.10787958150909795,3.0792289201535628
0.34,0.04,3.2447404476728106,0.10983034980389761,3.134910097868913
