X,Y,u_数值解,u_解析解,abs_误差
0.86,0.02,-0.39628325210064685,0.026734902922193923,0.4230181550228408
0.87,0.02,-0.3696353035107081,0.024937122382928806,0.39457242589363695
0.88,0.02,-0.3426225695022809,0.023114731914567033,0.36573730141684796
0.89,0.02,-0.3152717083815423,0.02126952999648096,0.33654123837802324
0.9,0.02,-0.28760971214675823,0.01940333762018986,0.3070130497669481
0.91,0.02,-0.2596638798500658,0.017517996492260955,0.2771818763423267
0.92,0.02,-0.2314617906551871,0.015615367216767557,0.24707715787195467
0.93,0.02,-0.2030312766190977,0.013697327459097311,0.216728604078195
0.9400000000000001,0.02,-0.17440039522529754,0.011765770092923351,0.1861661653182209
0.9500000000000001,0.02,-0.14559740169567592,0.009822601332166314,0.15542000302784223
0.96,0.02,-0.11665072110713448,0.007869738849791459,0.12452045995692594
0.97,0.02,-0.08758892033961924,0.0059091098852969174,0.09349803022491615
0.98,0.02,-0.05844067988323998,0.003942649342761098,0.06238332922600107
0.99,0.02,-0.02923476553302179,0.0019722978813257685,0.031207063414347556
1.0,0.02,0.0,7.6896208758373e-18,7.6896208758373e-18
0.0,0.03,0.0,0.0,0.0
0.01,0.03,-0.04381608076256632,0.002956013556896865,0.046772094319463185
0.02,0.03,-0.08758892034214104,0.005909109885296915,0.09349803022743795
0.03,0.03,-0.13127532023078356,0.008856374635655659,0.14013169486643923
0.04,0.03,-0.17483216722733536,0.01179489921349208,0.18662706644082744
0.05,0.03,-0.21821647598374794,0.01472178364982022,0.23293825963356815
0.06,0.03,-0.2613854314252054,0.017634139463068466,0.27901957088827384
0.07,0.03,-0.30429643100337667,0.02052909250966213,0.3248255235130388
0.08,0.03,-0.34690712674113156,0.023403785820456127,0.37031091256158766
0.09,0.03,-0.38917546702610023,0.02625538242021864,0.41543084944631886
0.1,0.03,-0.4310597381106418,0.029081068127383123,0.46014080623802495
0.11,0.03,-0.47251860527722905,0.03187805433130579,0.5043966596085349
0.12,0.03,-0.5135111536295807,0.0346435807442876,0.5481547343738683
0.13,0.03,-0.5539969284706305,0.03737491812564499,0.5913718465962755
0.14,0.03,-0.5939359752272596,0.04006937097514092,0.6340053462024006
0.15,0.03,-0.6332888788818152,0.04272428019311816,0.6760131590749333
0.16,0.03,-0.6720168028702735,0.04533702570470966,0.7173538285749832
0.17,0.03,-0.7100815274085134,0.04790502904553605,0.7579865564540494
0.18,0.03,-0.7474454872095898,0.05042575590633875,0.7978712431159286
0.19,0.03,-0.7840718085556981,0.05289671863403717,0.8369685271897354
0.2,0.03,-0.8199243456885701,0.055315478686742046,0.8752398243753121
0.21,0.03,-0.8549677164818915,0.05767964904030176,0.9126473655221933
0.22,0.03,-0.889167337359735,0.059986896544007136,0.9491542339037421
0.23,0.03,-0.922489457426142,0.06223494422312936,0.9847244016492713
0.24,0.03,-0.9549011917723869,0.06442157352601924,1.019322765298406
0.25,0.03,-0.9863705539298167,0.06654462651354975,1.0529151804433665
0.26,0.03,-1.016866487436552,0.06860200798874153,1.0854684954252936
0.27,0.03,-1.0463588964872077,0.0705916875644692,1.116950584051677
0.28,0.03,-1.0748186756345564,0.07251170166720845,1.147330377301765
0.29,0.03,-1.1022177385132501,0.07436015547484602,1.1765778939880962
0.3,0.03,-1.1285290455570895,0.07613522478664028,1.2046642703437298
0.31,0.03,-1.1537266306829514,0.07783515782348721,1.2315617885064387
0.32,0.03,-1.1777856269158504,0.07945827695671484,1.2572439038725653
0.33,0.03,-1.2006822909301604,0.08100298036370024,1.2816852712938607
0.34,0.03,-1.2223940264823498,0.082467743608675,1.3048617700910248
0.35000000000000003,0.03,-1.2428994067112469,0.08385112114715931,1.3267505278584062
0.36,0.03,-1.262178195283323,0.08515174775253996,1.347329943035863
0.37,0.03,-1.2802113663624715,0.08636833986338392,1.3665797062258553
0.38,0.03,-1.296981123385583,0.08749969685015876,1.3844808202357417
0.39,0.03,-1.3124709166259065,0.08854470220010892,1.4010156188260154
0.4,0.03,-1.3266654595268057,0.08950232461911901,1.4161677841459248
0.41000000000000003,0.03,-1.3395507437884684,0.09037161904947666,1.429922362837945
0.42,0.03,-1.3511140531921697,0.09115172760253025,1.4422657807947
0.43,0.03,-1.3613439761485695,0.09184188040532157,1.453185856553891
0.44,0.03,-1.3702304169586441,0.09244139636035745,1.4626718133190015
0.45,0.03,-1.3777646057770156,0.0929496838177707,1.4707142895947865
0.46,0.03,-1.383939107267813,0.09336624115920712,1.4773053484270202
0.47000000000000003,0.03,-1.3887478279434817,0.0936906572928623,1.4824384852363441
0.48,0.03,-1.392186022178393,0.09392261205917958,1.4861086342375727
0.49,0.03,-1.3942502968911992,0.09406187654680881,1.488312173438008
0.5,0.03,-1.3949386148922618,0.09410831331851431,1.489046928210776
0.51,0.03,-1.3942502968938104,0.09406187654680881,1.4883121734406193
0.52,0.03,-1.392186022181244,0.09392261205917958,1.4861086342404237
0.53,0.03,-1.3887478279440097,0.0936906572928623,1.4824384852368722
0.54,0.03,-1.3839391072655964,0.09336624115920712,1.4773053484248035
0.55,0.03,-1.377764605774206,0.09294968381777069,1.4707142895919767
0.56,0.03,-1.37023041695794,0.09244139636035745,1.4626718133182974
0.5700000000000001,0.03,-1.361343976150697,0.09184188040532158,1.4531858565560185
0.58,0.03,-1.3511140531951795,0.09115172760253025,1.4422657807977097
0.59,0.03,-1.3395507437895549,0.09037161904947666,1.4299223628390316
0.6,0.03,-1.3266654595249485,0.08950232461911903,1.4161677841440676
0.61,0.03,-1.3124709166228599,0.08854470220010892,1.4010156188229688
0.62,0.03,-1.296981123384261,0.08749969685015876,1.3844808202344197
0.63,0.03,-1.2802113663642092,0.08636833986338392,1.366579706227593
0.64,0.03,-1.2621781952865663,0.08515174775253995,1.3473299430391061
0.65,0.03,-1.2428994067130166,0.08385112114715933,1.3267505278601759
0.66,0.03,-1.2223940264810393,0.08246774360867498,1.3048617700897143
0.67,0.03,-1.2006822909270596,0.08100298036370024,1.2816852712907598
0.68,0.03,-1.1777856269139528,0.07945827695671484,1.2572439038706678
0.6900000000000001,0.03,-1.1537266306841327,0.0778351578234872,1.23156178850762
0.7000000000000001,0.03,-1.1285290455603372,0.07613522478664028,1.2046642703469774
0.71,0.03,-1.1022177385156204,0.07436015547484603,1.1765778939904665
0.72,0.03,-1.0748186756339506,0.07251170166720845,1.1473303773011592
0.73,0.03,-1.0463588964843304,0.0705916875644692,1.1169505840487997
0.74,0.03,-1.0168664874341882,0.06860200798874151,1.0854684954229297
0.75,0.03,-0.986370553930166,0.06654462651354975,1.0529151804437158
0.76,0.03,-0.9549011917750021,0.06442157352601925,1.0193227653010213
0.77,0.03,-0.9224894574284078,0.06223494422312936,0.9847244016515372
0.78,0.03,-0.8891673373594489,0.05998689654400716,0.949154233903456
0.79,0.03,-0.8549677164793046,0.05767964904030176,0.9126473655196063
0.8,0.03,-0.8199243456861627,0.05531547868674205,0.8752398243729047
0.81,0.03,-0.7840718085557201,0.052896718634037165,0.8369685271897573
0.8200000000000001,0.03,-0.7474454872120062,0.05042575590633875,0.797871243118345
0.8300000000000001,0.03,-0.7100815274110839,0.04790502904553603,0.7579865564566199
0.84,0.03,-0.6720168028706668,0.04533702570470968,0.7173538285753764
0.85,0.03,-0.633288878879721,0.042724280193118164,0.6760131590728391
0.86,0.03,-0.5939359752245799,0.04006937097514093,0.6340053461997208
0.87,0.03,-0.5539969284696706,0.03737491812564499,0.5913718465953156
0.88,0.03,-0.5135111536309701,0.03464358074428762,0.5481547343752577
0.89,0.03,-0.4725186052794408,0.031878054331305784,0.5043966596107465
0.9,0.03,-0.4310597381115011,0.029081068127383133,0.46014080623888426
0.91,0.03,-0.38917546702471517,0.026255382420218625,0.4154308494449338
0.92,0.03,-0.34690712673865637,0.02340378582045613,0.3703109125591125
0.93,0.03,-0.3042964310018931,0.020529092509662106,0.3248255235115552
0.9400000000000001,0.03,-0.2613854314258278,0.017634139463068462,0.2790195708888963
0.9500000000000001,0.03,-0.21821647598566019,0.014721783649820231,0.23293825963548043
0.96,0.03,-0.17483216722857092,0.011794899213492105,0.18662706644206303
0.97,0.03,-0.13127532022999863,0.008856374635655662,0.1401316948656543
0.98,0.03,-0.08758892033981029,0.005909109885296934,0.09349803022510722
0.99,0.03,-0.04381608076057247,0.0029560135568968597,0.046772094317469336
1.0,0.03,0.0,1.1524944467867478e-17,1.1524944467867478e-17
0.0,0.04,0.0,0.0,0.0
0.01,0.04,-0.05835415480711094,0.003936812003971143,0.06229096681108208
0.02,0.04,-0.11665072110798111,0.007869738849791441,0.12452045995777256
0.03,0.04,-0.17483216722972117,0.01179489921349208,0.18662706644321325
0.04,0.04,-0.232841075109677,0.015708419435684445,0.24854949454536143
0.05,0.04,-0.2906201969597964,0.019606437344394243,0.3102266343041907
0.06,0.04,-0.3481125117628934,0.023485106066558993,0.3715976178294524
0.07,0.04,-0.40526128154538227,0.027340597824427274,0.43260187936980954
0.08,0.04,-0.4620101073709641,0.03116910771311322,0.4931792150840773
0.09,0.04,-0.51830298499975,0.0349668574555783,0.5532698424553283
0.1,0.04,-0.5740843601577326,0.03873009913133458,0.6128144592890672
0.11,0.04,-0.6292991833620685,0.04245511887518977,0.6717543022372583
0.12,0.04,-0.6838929642483269,0.04613824054238377,0.7300312047907107
0.13,0.04,-0.7378118253460386,0.049775829336499725,0.7875876546825383
0.14,0.04,-0.7910025552493307,0.05336429539656926,0.8443668506459
0.15,0.04,-0.8434126611299401,0.056900097339831826,0.9003127584697719
0.16,0.04,-0.8949904205409642,0.060379745756652003,0.9553701662976162
0.17,0.04,-0.9456849324605626,0.06379980665414539,1.009484739114708
0.18,0.04,-0.9954461675253978,0.06715690484511516,1.0626030723705129
0.19,0.04,-1.0442250174040129,0.07044772727895417,1.114672744682967
0.2,0.04,-1.091973343261015,0.07366902631122604,1.165642369572241
0.21,0.04,-1.1386440232640154,0.07681762290869805,1.2154616461727135
0.22,0.04,-1.1841909990867474,0.0798904097866632,1.2640814088734107
0.23,0.04,-1.2285693213628441,0.08288435447545497,1.311453675838299
0.24,0.04,-1.271735194045645,0.08579650231312885,1.3575316963587738
